                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3947,                  2.802,                0.93597,                0.43946,                0.16087,                0.14177,                0.05736,                 2.4377,                 1.8116,                0.90388,              0.0033293,              0.0033293,              0.0033293
                      2,                  2.382,                 1.9154,                0.92908,                0.50978,                0.17978,                0.16302,                0.06904,                 2.4527,                 1.6188,                0.91418,              0.0065967,              0.0065967,              0.0065967
                      3,                 2.4607,                 1.7278,                0.94618,                0.50849,                0.20166,                0.18471,                0.07219,                 2.3595,                 1.4697,                0.90375,               0.009798,               0.009798,               0.009798
                      4,                 2.4511,                 1.5571,                0.94347,                0.52956,                0.18967,                0.18205,                0.07718,                 2.3857,                 1.4184,                0.92244,               0.009703,               0.009703,               0.009703
                      5,                 2.3376,                 1.3877,                0.94207,                0.39217,                0.22172,                0.22355,                0.09602,                 2.3116,                 1.2484,                0.90324,               0.009604,               0.009604,               0.009604
                      6,                 2.2365,                 1.2794,                0.92474,                0.37559,                0.22803,                0.22925,                0.10501,                 2.2125,                 1.2103,                0.88644,               0.009505,               0.009505,               0.009505
                      7,                 2.1444,                 1.1962,                0.91552,                0.41347,                0.23446,                 0.2437,                0.10941,                 2.2167,                 1.2148,                0.89402,               0.009406,               0.009406,               0.009406
                      8,                 2.1574,                 1.1795,                0.91535,                0.42523,                 0.2501,                0.25548,                 0.1179,                 2.1198,                 1.1643,                0.88327,               0.009307,               0.009307,               0.009307
                      9,                 2.1043,                 1.1263,                  0.907,                 0.4511,                0.26285,                0.27686,                 0.1321,                 2.0371,                 1.0798,                0.86457,               0.009208,               0.009208,               0.009208
                     10,                 2.0356,                 1.0762,                0.89865,                0.46669,                0.25532,                0.28441,                0.13534,                 2.0645,                 1.0584,                0.87755,               0.009109,               0.009109,               0.009109
                     11,                 2.0137,                 1.0601,                0.89891,                0.64666,                0.25187,                0.27176,                0.13076,                 2.0513,                  1.046,                0.86634,                0.00901,                0.00901,                0.00901
                     12,                 2.0028,                 1.0448,                0.89435,                0.68014,                0.26889,                0.29199,                0.13645,                  2.046,                 1.0282,                0.87194,               0.008911,               0.008911,               0.008911
                     13,                 1.9894,                  1.041,                 0.8953,                0.66479,                0.26583,                0.29239,                0.14417,                 1.9884,                 1.0273,                0.86755,               0.008812,               0.008812,               0.008812
